TIME	forecast2019	currentProjection	upsideScenario	downsideScenario	singleHit	doubleHit
2019-Q4	100	100	100	100	100	100
2020-Q1	100.730545078476	97.1502474450115	97.1502474450115	97.1502474450115	97.0131783685874	97.0131531629455
2020-Q2	101.440036093607	90.1467933509275	90.1467933509275	90.1467933509275	87.5760446634875	87.5763203978652
2020-Q3	102.183133338694	96.5496946867261	96.5496946867261	96.5496946867261	92.8294514068771	92.8296743585965
2020-Q4	102.941431119359	96.8808553723857	96.8808553723857	96.8808553723857	95.4101579110213	88.9666083633012
2021-Q1	103.710279216928	97.7925936102261	97.7925936102261	96.7822983256389	96.798587304789	91.7668067069038
2021-Q2	104.487842722555	98.7311407861345	98.7311407861345	96.5000144666494	97.7251284575298	93.6607698414388
2021-Q3	105.285072940039	99.5964655335379	100.701587915098	96.3112761179141	98.520412525047	94.9892585475633
2021-Q4	106.097235836013	100.444825968808	102.464068305259	96.3044902423736	99.2096253694241	96.027390249865
2022-Q1	106.923276404873	101.377302824554	103.92187312545	96.8692569225516		
2022-Q2	107.745245071607	102.299827742212	104.999520196329	97.780528252044		
2022-Q3	108.573532591559	103.251672847225	105.779273798525	99.2241348444731		
2022-Q4	109.408187540675	104.202369698953	106.545255779265	100.759836011209		
