TIME	forecast2019	currentProjection	upsideScenario	downsideScenario	singleHit	doubleHit
2019-Q1	97.8626931819476	98.3582697396279				
2019-Q2	98.5646552305399	98.9885416251865				
2019-Q3	99.2425394106308	99.5414966203905				
2019-Q4	100	100			100	100
2020-Q1	100.730545078477	97.1535425005837			97.0131783685874	97.0131531629455
2020-Q2	101.440036093607	89.5650100241203			87.5760446634875	87.5763203978652
2020-Q3	102.183133338694	95.042922141127	95.042922141127	95.042922141127	92.8294514068771	92.8296743585965
2020-Q4	102.941431119359	97.1258184309815	97.1258184309815	96.0723918042791	95.4101579110213	88.9666083633012
2021-Q1	103.710279216928	98.2699059682267	99.3457648987668	95.9857202739012	96.798587304789	91.7668067069038
2021-Q2	104.487842722555	99.1341782742313	101.14015837161	96.1924706681218	97.7251284575298	93.6607698414388
2021-Q3	105.285072940039	99.9139414063216	102.367528065437	96.6330673123622	98.520412525047	94.9892585475633
2021-Q4	106.097235836013	100.612256598019	102.917384008936	97.5120911354641	99.2096253694241	96.027390249865
